Date Saved,02/10/2017 13:53:18
Title,2017-10-02 Wan_001_02ﾟ_2830K

Measuring Mode,Ambient
Spectral Data 445[nm],0.001383074676
Spectral Data 446[nm],0.001404345501
Spectral Data 447[nm],0.001425799797
Spectral Data 448[nm],0.001447511837
Spectral Data 449[nm],0.001469547860
Spectral Data 450[nm],0.001491938950
Spectral Data 451[nm],0.001514708041
Spectral Data 452[nm],0.001537877251
Spectral Data 453[nm],0.001561419806
Spectral Data 454[nm],0.001585215330
Spectral Data 455[nm],0.001609133324
Spectral Data 456[nm],0.001633050153
Spectral Data 457[nm],0.001656987472
Spectral Data 458[nm],0.001681100926
Spectral Data 459[nm],0.001705551287
Spectral Data 460[nm],0.001730473246
Spectral Data 461[nm],0.001755811856
Spectral Data 462[nm],0.001781426719
Spectral Data 463[nm],0.001807177207
Spectral Data 464[nm],0.001832961570
Spectral Data 465[nm],0.001858806354
Spectral Data 466[nm],0.001884765690
Spectral Data 467[nm],0.001910893130
Spectral Data 468[nm],0.001937223482
Spectral Data 469[nm],0.001963761868
Spectral Data 470[nm],0.001990510849
Spectral Data 471[nm],0.002017469145
Spectral Data 472[nm],0.002044579247
Spectral Data 473[nm],0.002071739407
Spectral Data 474[nm],0.002098847181
Spectral Data 475[nm],0.002125802916
Spectral Data 476[nm],0.002152531641
Spectral Data 477[nm],0.002178966533
Spectral Data 478[nm],0.002205041237
Spectral Data 479[nm],0.002230691724
Spectral Data 480[nm],0.002255864674
Spectral Data 481[nm],0.002280506771
Spectral Data 482[nm],0.002304570284
Spectral Data 483[nm],0.002328170696
Spectral Data 484[nm],0.002351636998
Spectral Data 485[nm],0.002375312382
Spectral Data 486[nm],0.002399517922
Spectral Data 487[nm],0.002424323466
Spectral Data 488[nm],0.002449638676
Spectral Data 489[nm],0.002475370187
Spectral Data 490[nm],0.002501449548
Spectral Data 491[nm],0.002527953358
Spectral Data 492[nm],0.002554998733
Spectral Data 493[nm],0.002582701854
